Date,Open,High,Low,Close,Adj Close,Volume
5/21/2010,67.07,68.040001,65.550003,67.860001,49.256496,12614800
5/24/2010,67.839996,68.510002,67.260002,67.660004,49.111332,6733300
5/25/2010,66.589996,67.839996,66.199997,67.839996,49.241985,9257900
5/26/2010,67.889999,68.059998,66,66.010002,47.913662,11525200
5/27/2010,66.410004,67.199997,66.019997,67.199997,49.187263,9728000
5/28/2010,67.239998,67.629997,66.75,66.870003,48.945728,7164800
6/1/2010,66.230003,67.309998,66.040001,66.360001,48.572426,5367700
6/2/2010,66.529999,67.800003,66.199997,67.769997,49.604473,5750400
6/3/2010,67.800003,68.25,67.440002,67.849998,49.663025,4402500
6/4/2010,66.82,68.089996,66.519997,66.699997,48.821278,7558000
6/7/2010,66.639999,67.82,66.25,66.75,48.857895,9808400
6/8/2010,67.160004,68.449997,65.809998,68.379997,50.050964,13565800
6/9/2010,68.68,68.900002,68.040001,68.260002,49.963131,8921800
6/10/2010,68.980003,69.410004,68.709999,69.370003,50.775616,6743600
6/11/2010,68.860001,69.550003,68.75,69.540001,50.900047,5367100
6/14/2010,69.949997,69.980003,69.300003,69.300003,50.724369,4525300
6/15/2010,69.940002,70.489998,69.849998,70.400002,51.529507,6419900
6/16/2010,70.059998,70.5,70.010002,70.290001,51.44899,4548500
6/17/2010,70.550003,70.580002,69.379997,70.050003,51.273331,7014900
6/18/2010,70.25,70.43,69.809998,69.879997,51.148895,8817900
6/21/2010,70.269997,70.5,69.769997,69.919998,51.178185,5203100
6/22/2010,70.010002,70.370003,68.550003,68.639999,50.24128,5487700
6/23/2010,68.82,69.300003,68.470001,68.629997,50.233955,5443200
6/24/2010,68.43,68.540001,67.610001,67.730003,49.575203,5942800
6/25/2010,67.709999,68.290001,67.370003,67.419998,49.348301,8041700
6/28/2010,67.580002,67.889999,67.25,67.330002,49.282425,4427700
6/29/2010,66.610001,66.790001,66.089996,66.459999,48.645615,8715200
6/30/2010,66.290001,66.839996,65.800003,65.870003,48.213772,7204900
7/1/2010,66.720001,66.900002,65.309998,66.709999,48.828609,10924400
7/2/2010,66.75,67,65.959999,66.139999,48.4114,5280600
7/6/2010,66.519997,67.099998,65.629997,66.110001,48.389435,5940700
7/7/2010,66.089996,67.370003,66,67.309998,49.267784,6623200
7/8/2010,67.800003,69.150002,67.550003,69.019997,50.519413,7871200
7/9/2010,69.080002,69.330002,68.75,69.220001,50.665825,4513000
7/12/2010,68.959999,70,68.959999,69.940002,51.192825,5420800
7/13/2010,70.440002,71.07,70.120003,70.839996,51.851559,6072100
7/14/2010,70.5,70.980003,70.160004,70.900002,51.895496,4476100
7/15/2010,70.900002,71.459999,70.43,71.330002,52.210239,5470100
7/16/2010,71.160004,71.279999,69.860001,69.940002,51.192825,5981000
7/19/2010,69.970001,70.379997,69.449997,69.910004,51.170868,5072700
7/20/2010,69.470001,70.959999,69.440002,70.870003,51.873524,5474300
7/21/2010,70.93,71,69.650002,70.110001,51.317265,5734400
7/22/2010,70.510002,71.540001,70.510002,71.400002,52.261475,6717900
7/23/2010,70.760002,71.169998,68.940002,69.900002,51.163551,12238900
7/26/2010,70.040001,70.870003,69.900002,70.870003,51.873524,5525400
7/27/2010,71.029999,71.029999,69.989998,70.400002,51.529507,6214900
7/28/2010,70.209999,70.379997,69.370003,69.769997,51.068378,6708400
7/29/2010,70.199997,70.25,68.900002,69.379997,50.782932,5131700
7/30/2010,68.919998,69.980003,68.589996,69.730003,51.03912,5990300
8/2/2010,70.5,70.5,69.93,70.25,51.419724,5873100
8/3/2010,70.209999,70.839996,70.059998,70.449997,51.566109,4946000
8/4/2010,70.379997,70.949997,70.209999,70.690002,51.741791,4567100
8/5/2010,70.5,70.5,69.839996,70.449997,51.566109,5441500
8/6/2010,70.160004,71.800003,70.019997,71.739998,52.510334,6775300
8/9/2010,72.410004,73.339996,72.349998,72.919998,53.374012,8921200
8/10/2010,72.5,72.980003,71.970001,72.839996,53.315464,5689700
8/11/2010,72.010002,72.32,71.5,71.57,52.385906,5478000
8/12/2010,71.040001,72.150002,71.040001,72.059998,52.744556,5641400
8/13/2010,71.690002,72.470001,71.690002,71.889999,52.620129,5937300
8/16/2010,71.760002,72.120003,71.540001,71.790001,52.546936,4935700
8/17/2010,72.080002,73.639999,71.739998,73.220001,53.593632,7392900
8/18/2010,73.230003,73.82,72.800003,73.25,53.615582,6030800
8/19/2010,73.150002,73.400002,72.449997,72.970001,53.410633,6950500
8/20/2010,72.870003,73.199997,72.68,73.080002,53.491161,5566300
8/23/2010,73.529999,73.940002,73.330002,73.339996,53.681435,5404300
8/24/2010,72.75,73.099998,72.190002,72.720001,53.227661,5846200
8/25/2010,72.300003,73.449997,72.300003,73.190002,53.571674,6704600
8/26/2010,73.690002,73.760002,73.110001,73.160004,53.549713,5215600
8/27/2010,73.470001,74.07,72.860001,73.989998,54.15723,6592900
8/30/2010,73.309998,73.470001,72.739998,72.739998,53.641022,4192900
8/31/2010,72.559998,73.32,72.550003,73.059998,53.876995,5598100
9/1/2010,73.919998,74.599998,73.720001,74.540001,54.968407,6746800
9/2/2010,74.75,75.059998,74.290001,75.019997,55.322353,5885200
9/3/2010,74.900002,75.349998,74.419998,75.089996,55.373978,7328100
9/7/2010,74.970001,75.980003,74.93,75.800003,55.897591,7188700
9/8/2010,75.940002,76.260002,75.75,76.080002,56.104057,6808700
9/9/2010,74.339996,76.080002,73.660004,74.370003,54.843044,14615200
9/10/2010,74.190002,75.129997,74.18,75.010002,55.315006,7483900
9/13/2010,75.25,75.339996,74.010002,74.57,54.99052,7851500
9/14/2010,74.470001,74.57,73.809998,73.940002,54.525936,6543500
9/15/2010,73.720001,74.830002,73.709999,74.709999,55.093769,4549400
9/16/2010,74.620003,74.900002,74.349998,74.800003,55.160141,5073300
9/17/2010,74.599998,74.790001,74.129997,74.32,54.806149,7933500
9/20/2010,74.32,75.349998,74.300003,75.110001,55.388718,4211200
9/21/2010,75.32,75.75,74.879997,75.510002,55.683712,5297300
9/22/2010,75.360001,75.779999,75,75.129997,55.403511,5141600
9/23/2010,75.160004,75.43,74.580002,74.639999,55.042137,5921600
9/24/2010,75.400002,75.440002,74.940002,75.099998,55.381378,5843400
9/27/2010,75.230003,75.389999,74.75,74.760002,55.130653,5957400
9/28/2010,74.959999,74.959999,74.220001,74.629997,55.034756,7047500
9/29/2010,74.57,74.75,74.300003,74.449997,54.902031,4668100
9/30/2010,74.519997,74.970001,73.870003,74.510002,54.946274,7237700
10/1/2010,75.040001,75.199997,74.540001,74.919998,55.248615,7192400
10/4/2010,74.910004,75.129997,74.400002,74.949997,55.270748,3900300
10/5/2010,75.389999,75.959999,75.25,75.82,55.9123,5680000
10/6/2010,75.790001,75.949997,75.400002,75.559998,55.720589,4732700
10/7/2010,75.510002,75.989998,75.510002,75.860001,55.941803,4477200
10/8/2010,75.910004,76.309998,75.639999,76.099998,56.118809,4118200
10/11/2010,76.010002,76.25,75.269997,75.589996,55.74271,3653400
10/12/2010,75.709999,75.82,74.879997,75.580002,55.735336,4703500
10/13/2010,75.889999,76.07,75.410004,75.75,55.86071,4370700
10/14/2010,75.769997,77.089996,75.669998,77.040001,56.812012,6616400
10/15/2010,77.470001,77.769997,76.93,77.480003,57.136448,6259200
10/18/2010,77.540001,77.940002,77.160004,77.32,57.018471,5375200
10/19/2010,77.080002,77.620003,76.68,76.989998,56.775116,5226000
10/20/2010,77.269997,78.139999,77.169998,77.410004,57.084858,6420300
10/21/2010,78.440002,79.480003,78.269997,78.440002,57.844387,7697000
10/22/2010,78.050003,78.75,77.849998,78.550003,57.925533,4224000
10/25/2010,78.989998,79.25,78.629997,78.699997,58.036121,4103000
10/26/2010,78.589996,79,78.580002,78.760002,58.080383,4030200
10/27/2010,78.459999,78.620003,77,77.480003,57.136448,8459200
10/28/2010,77.720001,77.769997,77.120003,77.480003,57.136448,5346300
10/29/2010,77.599998,79.900002,77.400002,77.769997,57.350323,4335000
11/1/2010,78.059998,78.629997,77.370003,77.879997,57.431454,4957800
11/2/2010,78.389999,78.760002,78.269997,78.400002,57.814888,3701400
11/3/2010,78.410004,78.709999,77.82,78.5,57.888641,4060500
11/4/2010,79.120003,79.470001,78.839996,79.18,58.390099,5607000
11/5/2010,79.389999,79.389999,78.800003,79.300003,58.478588,5243200
11/8/2010,78.940002,79.400002,78.699997,79.309998,58.485966,4865700
11/9/2010,79.190002,79.25,78.709999,79.099998,58.331116,4534300
11/10/2010,79.07,79.580002,78.660004,79.5,58.626083,4009900
11/11/2010,79.360001,79.849998,79.32,79.699997,58.77354,4438900
11/12/2010,79.300003,79.449997,78.139999,78.849998,58.14674,4946900
11/15/2010,78.980003,79.379997,78.769997,79.07,58.308987,3741600
11/16/2010,78.599998,78.639999,77.120003,77.419998,57.092213,6751400
11/17/2010,77.43,78.519997,77.43,78.370003,57.792793,5272800
11/18/2010,78.629997,79.480003,78.629997,79.019997,58.272118,11083200
11/19/2010,79.120003,79.660004,78.760002,79.639999,58.729332,10866000
11/22/2010,79.370003,79.529999,79.059998,79.519997,58.640812,10939500
11/23/2010,79.050003,79.199997,78.440002,79.010002,58.264755,5460400
11/24/2010,79.370003,79.669998,79.25,79.480003,58.611324,4465100
